Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
Preparation and characterization of pyrolytic spray deposited electrochromic tungsten trioxide films,Energy and Renewable Resources,2000,"Thin solid films 358 (1-2), 40-45, 2000",Thin solid films,358,12,4045
Pyrolysis of the Moroccan (Tarfaya) oil shales under microwave irradiation,Energy and Renewable Resources,2000,"Fuel 79 (7), 733-742, 2000",Fuel,79,7,733742
Corrosion inhibition of Armco iron by 2-mercaptobenzimidazole in sodium chloride 3% media,Energy and Renewable Resources,2007,"Corrosion Science 49 (7), 2936-2945, 2007",Corrosion Science,49,7,29362945
Electrochromism in sputtered V2O5 thin films: structural and optical studies,Energy and Renewable Resources,2002,"Thin Solid Films 405 (1-2), 11-16, 2002",Thin Solid Films,405,12,1116
Study of ZnTe thin films deposited by rf sputtering,Energy and Renewable Resources,2001,"Thin Solid Films 382 (1-2), 30-33, 2001",Thin Solid Films,382,12,3033
Optical characterization of low optical thickness thin films from transmittance and back reflectance measurements,Energy and Renewable Resources,2000,"thin solid films 372 (1-2), 149-155, 2000",thin solid films,372,12,149155
Effect of pH on distribution and adhesion of Staphylococcus aureus to glass,Energy and Renewable Resources,2005,"Journal of adhesion science and technology 19 (1), 73-85, 2005",Journal of adhesion science and technology,19,1,7385
Experimental investigation and modeling of the thermal behavior of a solar PV module,Energy and Renewable Resources,2018,"Solar Energy Materials and Solar Cells 180, 271-279, 2018",Solar Energy Materials and Solar Cells,180,,271279
Electrical and optical properties of WO3 thin films,Energy and Renewable Resources,2001,"Thin Solid Films 397 (1-2), 238-243, 2001",Thin Solid Films,397,12,238243
Simulation of PV–Wind-hybrid systems combined with hydrogen storage for rural electrification,Energy and Renewable Resources,2011,"International journal of hydrogen energy 36 (6), 4185-4197, 2011",International journal of hydrogen energy,36,6,41854197
Fabrication and characterization of Ba1− xSr1− xTiO3 tunable thin film capacitors,Energy and Renewable Resources,1995,"Thin Solid Films 259 (2), 218-224, 1995",Thin Solid Films,259,2,218224
"Structural, Optical and Electrochromic Properties of Sol–Gel  Thin Films",Energy and Renewable Resources,2003,"Active and passive electronic components 26, 245-256, 2003",Active and passive electronic components,26,,245256
Tunability of the dielectric constant of Ba0. 1Sr0. 9TiO3 ceramics in the paraelectric state,Energy and Renewable Resources,1995,"Journal of materials research 10 (6), 1411-1417, 1995",Journal of materials research,10,6,14111417
Characterization of hydrothermally prepared BaTi1− xZrxO3,Energy and Renewable Resources,2002,"Journal of alloys and compounds 340 (1-2), 214-219, 2002",Journal of alloys and compounds,340,12,214219
Effect of deposition and annealing parameters on the properties of electrodeposited CuIn1− xGaxSe2 thin films,Energy and Renewable Resources,2005,"Thin Solid Films 488 (1-2), 62-67, 2005",Thin Solid Films,488,12,6267
Performance parameters of a standalone PV plant,Energy and Renewable Resources,2014,"Energy conversion and management 86, 490-495, 2014",Energy conversion and management,86,,490495
Electrochromic effect in WO3 thin films prepared by spray pyrolysis,Energy and Renewable Resources,2003,"Solar energy materials and solar cells 77 (4), 341-350, 2003",Solar energy materials and solar cells,77,4,341350
Chemical composition of essential oil of Jatropha curcas L. leaves and its antioxidant and antimicrobial activities,Energy and Renewable Resources,2018,"Industrial crops and products 121, 405-410, 2018",Industrial crops and products,121,,405410
Influence of the counter ion on the properties of poly (o-toluidine) thin films and their Schottky diodes,Energy and Renewable Resources,2009,"Synthetic Metals 159 (3-4), 292-297, 2009",Synthetic Metals,159,34,292297
"Comparative study of sputtered and electrodeposited CI (S, Se) and CIGSe thin films",Energy and Renewable Resources,2007,"Thin Solid Films 515 (15), 5852-5856, 2007",Thin Solid Films,515,15,58525856
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",Mathematics and Computational Sciences,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,127
