Nom et Prénom,ASS - Unevercity,Spciality,H indice global,Citations global,H indice_I10 global,H indice depuis 2018,Citations depuis 2018,H indice_I10 depuis 2018,Article,faculty
salah er-raki,"ProcEDE- FST de Marrakech,Université Cadi Ayyad","physique, irrigation, Agricultural Sciences, remote sensing, Geoscience",37,5257,69,34,3329,63,20,FSTG
Abdelkader Outzourhit,Université Cadi Ayyad,"Energies renouvelables, PV, Stockage",30,3996,107,22,1916,68,20,Other
Jamal Ezzahar,"MISCOM, ENSA Safi,Université Cadi Ayyad Marrakech","Land-atmosphere interactions, Soil Moisture, Remote sensing, Evapotranspiration, Physics",28,3720,46,26,2411,41,20,ENSA
ouazzani naaila,"professeur à l'université Cadi Ayyad, Marrakech",Wastewater treatment and reuse,31,3582,73,26,2532,61,20,Other
Saïd Khabba,Professeur de l'Université Cadi Ayyad,"Ressources en eau, Besoin en eau des cultures, modèles, télédétection, semi-aride",32,3494,65,28,2507,54,20,Other
ABDELGHANI BELLOUQUID,"professeur de mathématique,université cadi ayyad",modélisation des systèmes complexes et analyse mathématique,28,3369,43,16,1572,23,20,FSSM
Soulaimani Abderrahmane,"Professor,Cadi Ayyad University, Marrakech, Morocco",Tectonic and Regional Geology,29,3331,52,25,2048,44,20,Other
GHOULAM Cherki,"Faculty of Sciences and Techniques,Cadi Ayyad University",Agrophysiologie,29,3232,49,22,1874,44,20,FSTG
Yedir Ouhdouch,professeur de microbiologieUniversité Cadi  Ayyad,"Actinobactéries, biotechnologie microbienne, solubilisation des phosphate, production d'antibiotique",25,3037,46,20,1898,40,20,FSTG
El Modafar cherkaoui,"Professeur de Biologie,Université Cadi Ayyad",Biotechnologies végétles,31,2979,79,25,2064,60,20,FSTG
Allal Barroug,Professor -Cadi Ayyad University  - Marrakech,"Apatites, Calcium Phosphates, Adsorption, Drug Delivery, Biomaterials",27,2821,37,18,906,25,20,Other
Abdellatif Hafidi,CADI AYYAD UNIVERSITY,"Lipids quality and technology, Membrane separation, Emulsification, Bioactive compounds, Functionalities",25,2705,40,23,1705,31,20,Other
Lahoucine HANICH,"Professeur d'Hydrogéologie, Faculté des Sciences et Techniques de Marrakech,Université Cadi Ayyad","Hydrogéologie, télédétection, Hydrologie nivale",29,2594,52,25,1960,45,20,FSTG
Mohammadine EL HADDAD,Université Cadi Ayyad,adsorption  décontamination plan d'expérience DFT,26,2541,51,24,1798,41,20,Other
Abdelaziz Abbad,"Faculty of Sciences, Semlalia,Cadi Ayyad University, Marrakech, Morocco",Valorization and Conservation of Medicinal and Aromatic Plants,28,2521,56,23,1640,47,20,FSSM
Mohamed Bennis,Université Cadi Ayyad,,23,1925,55,18,1211,31,20,Other
M. Hajjaji,"Prof.,Université Cadi Ayyad","Materials science, traditional ceramics, clays & chemical pollutants",23,1769,42,18,997,30,20,Other
Brahim Benhamou,"Cadi Ayyad University Marrakech, Physics-ThermoFluid","Energy Efficiency in Buildings, Heat and Mass Transfer, Desalination, Computational Fluid Dynamics",21,1582,36,18,1113,29,20,FSSM
Lahcen Maniar,Université Cadi Ayyad Marrakech,Control theory: controllability and stabilization,20,1462,45,14,692,25,20,Other
AZIZ Faissal,Cadi Ayyad University,"Water treatment, biomaterials, nanocomposites, smart irrigation",21,1437,39,21,1368,37,20,Other
M'barek Amjoud,"ProfessorCadi Ayyad universityMarrakesh, Morocco",Material science,21,1398,32,18,1047,27,20,Other
Ahmed EL HICHOU,Université Cadi Ayyad,"Sciences des matériaux, Cellules photovoltaiques",18,1217,25,13,442,16,20,Other
Mohamed Aziz Taoudi,"Professeur de Mathématiques,Université Cadi Ayyad","Fixed point theory, Partial differential equations, Integral equations, semigroup theory",17,1061,32,13,521,18,20,FSSM
Younes Fakir,"Cadi Ayyad University, Marrakech, Morocco","Groundwater, Modeling, Remote sensing, Hydrochemistry, Isotopes",16,972,27,14,602,20,20,Other
Mohamed Daoud,Professeuruniversité Cadi Ayyad,sciences des matériaux,16,951,28,13,658,23,20,Other
ELFazziki,"professeur d'informatique,Université Cadi Ayyad, Marrakech Maroc","Information system engineering, Data analytics, decision support systems, multiagent systems, Model Driven architectures",15,889,26,15,747,19,20,FSTG
Tarik Agouti,Cadi Ayyad University,Computers & Operations research,17,875,21,15,718,19,20,Other
EL Meziane,Université Cadi Ayyad,"Molecular Genetics, Nanobiotechnology",15,847,19,12,461,14,20,Other
essaifi abderrahim,Cadi Ayyad university,Structural Geology-Geochemistry,15,827,22,13,404,17,20,Other
Badia Aganchich,cadi ayyad university,Plant biotechnoloy and physiology,8,810,8,8,302,8,14,Other
zrikem zaki zrikem zaki,Cadi Ayyad Uneversity,,15,782,23,12,419,13,20,None
Mamor Mohamed,"Professeur en physique,Université Cadi  Ayyad, Marrakech","Physics of Semiconductor Materials, Point Defects, Semiconductor Photovoltaic Devices & Solar Cells, Physics of Semiconductor De",16,763,25,7,156,4,20,FSSM
Aziz Ouaarab,"Assoc. Prof.,Cadi Ayyad University","Swarm Intelligence, Combinatorial Optimization, Bio-inspired Metaheuristics",8,756,6,7,525,6,20,Other
Younes Aissaoui,"Professeur d'anesthésie réanimation,Université Cadi Ayyad, Hopital Militaire Avicenne","Hémodynamique, sepsis, ventilation mécanique, Fluides, état de choc.",9,752,8,6,264,5,20,FMPM
Mohamed Chaibi,Université Cadi Ayyad,"géographie physique, Géomorphologie littorale",9,733,9,6,530,4,20,Other
Karima Khalil,Cadi Ayyad University,Modelling and numerical simulation on environmental sciences,12,725,14,10,404,11,20,Other
Nour-Eddine Laftouhi,"Professeur d'Hydrologie et d'Hydrogéologie ,Université Cadi Ayyad de Marrakech","Integrated Water resources management, climate change and climate variability and their impact on water resources",14,717,24,12,498,15,20,FSSM
Mohamed Elmehdi SAIDI,Cadi Ayyad University Marrakech,"Géologie, Hydrologie, Climatologie, Hydrogéologie, Environnement",17,717,27,14,587,21,20,Other
Oudrhiri Hassani Fahd,Université Cadi Ayyad,"materials science, ceramics, natural fibres, composites, energy",9,703,8,9,619,8,20,Other
A Kchikach,UCA,"Geology Geophysics, Geotechnics, Hydrogeology",13,696,20,11,483,13,20,None
Iltimass Gouazar,"Medical student,Cadi Ayyad University, Faculté de Médecine et de Pharmacie Marrakech",Medicine,4,679,4,4,678,4,6,FMPM
Issam EL GHAZALI,Université cadi Ayyad,"Biochimie, microbiologie, toxicologie",11,628,11,8,248,8,11,Other
Abdellah El Kacimi,Associate ProfessorCadi Ayyad University,"Applied Mathematics, Numerical methods, Scientific computing",12,622,15,10,371,10,20,Other
Ahmed MDARHRI,université Cadi Ayyad,"polymères, composites, nanotubes de carbone",11,551,12,8,211,7,20,Other
Mostafa Lamhamdi,Professor at the Superior School of Technology KS -Cadi Ayyad University,"Plant Biochemistry physiology and biotechnolog, Agricultural plant science, Ecotoxicology",6,541,6,6,351,6,9,ESTE
Rachid IDOUHLI,Cadi Ayyad University - Marrakech,"Corrosion, Electrochemistry, Green inhibition, Chemistry, Adsorption",14,523,19,14,523,19,20,Other
