Nom et Prénom,ASS - Unevercity,Spciality,H indice global,Citations global,H indice_I10 global,H indice depuis 2018,Citations depuis 2018,H indice_I10 depuis 2018,Article Count,faculty
salah er-raki,"ProcEDE- FST de Marrakech,Université Cadi Ayyad","physique, irrigation, Agricultural Sciences, remote sensing, Geoscience",37,5231,69,34,3308,63,20,FSTG
Abdelkader Outzourhit,Université Cadi Ayyad,"Energies renouvelables, PV, Stockage",29,3973,105,22,1899,66,20,Other
Jamal Ezzahar,"MISCOM, ENSA Safi,Université Cadi Ayyad Marrakech","Land-atmosphere interactions, Soil Moisture, Remote sensing, Evapotranspiration, Physics",28,3703,46,26,2399,41,20,ENSA
ouazzani naaila,"professeur à l'université Cadi Ayyad, Marrakech",Wastewater treatment and reuse,31,3549,72,26,2502,60,20,None
Saïd Khabba,Professeur de l'Université Cadi Ayyad,"Ressources en eau, Besoin en eau des cultures, modèles, télédétection, semi-aride",32,3474,65,28,2490,53,20,None
ABDELGHANI BELLOUQUID,"professeur de mathématique,université cadi ayyad",modélisation des systèmes complexes et analyse mathématique,28,3362,43,16,1571,23,20,None
Soulaimani Abderrahmane,"Professor,Cadi Ayyad University, Marrakech, Morocco",Tectonic and Regional Geology,29,3322,52,25,2041,44,20,None
GHOULAM Cherki,"Faculty of Sciences and Techniques,Cadi Ayyad University",Agrophysiologie,29,3213,49,22,1858,43,20,FSTG
Yedir Ouhdouch,professeur de microbiologieUniversité Cadi  Ayyad,"Actinobactéries, biotechnologie microbienne, solubilisation des phosphate, production d'antibiotique",25,3007,46,20,1875,40,20,None
El Modafar cherkaoui,"Professeur de Biologie,Université Cadi Ayyad",Biotechnologies végétles,31,2963,77,25,2052,58,20,None
Allal Barroug,Professor -Cadi Ayyad University  - Marrakech,"Apatites, Calcium Phosphates, Adsorption, Drug Delivery, Biomaterials",27,2806,37,18,899,25,20,None
Abdellatif Hafidi,CADI AYYAD UNIVERSITY,"Lipids quality and technology, Membrane separation, Emulsification, Bioactive compounds, Functionalities",25,2686,40,23,1693,31,20,None
Lahoucine HANICH,"Professeur d'Hydrogéologie, Faculté des Sciences et Techniques de Marrakech,Université Cadi Ayyad","Hydrogéologie, télédétection, Hydrologie nivale",29,2560,52,25,1928,45,20,None
Mohammadine EL HADDAD,Université Cadi Ayyad,adsorption  décontamination plan d'expérience DFT,26,2525,51,24,1785,41,20,Other
Abdelaziz Abbad,"Faculty of Sciences, Semlalia,Cadi Ayyad University, Marrakech, Morocco",Valorization and Conservation of Medicinal and Aromatic Plants,28,2506,56,23,1627,47,20,None
Mohamed Bennis,Université Cadi Ayyad,,23,1909,55,18,1196,31,20,Other
M. Hajjaji,"Prof.,Université Cadi Ayyad","Materials science, traditional ceramics, clays & chemical pollutants",23,1763,42,18,992,30,20,None
Brahim Benhamou,"Cadi Ayyad University Marrakech, Physics-ThermoFluid","Energy Efficiency in Buildings, Heat and Mass Transfer, Desalination, Computational Fluid Dynamics",21,1570,36,17,1103,29,20,None
Lahcen Maniar,Université Cadi Ayyad Marrakech,Control theory: controllability and stabilization,20,1449,45,14,679,25,20,None
AZIZ Faissal,Cadi Ayyad University,"Water treatment, biomaterials, nanocomposites, smart irrigation",21,1417,39,21,1349,37,20,None
