Article_Title,Author,Year,Description,Revue,Volume,Number,Pages
"Evapotranspiration components determined by stable isotope, sap flow and eddy covariance techniques",DG Williams,2004,"Agricultural and forest meteorology 125 (3-4), 241-258, 2004",Agricultural and forest meteorology,125,3-4,241-258
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",VS B. Duchemin,2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,1-27
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,S Er-Raki,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,41-54
The use of high‐resolution image time series for crop classification and evapotranspiration estimate over an irrigated area in central Morocco,V Simonneaux,2008,"International Journal of Remote Sensing 29 (1), 95-116, 2008",International Journal of Remote Sensing,29,1,95-116
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",J Toumi,2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219-235
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,A Amazirh,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321-337
Using the dual approach of FAO-56 for partitioning ET into soil and plant components for olive orchards in a semi-arid region,S Er-Raki,2010,"Agricultural water management 97 (11), 1769-1778, 2010",Agricultural water management,97,11,1769-1778
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,A Chehbouni,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,17-18,5161-5181
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,S Er-Raki,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,1587-1596
Combining satellite remote sensing data with the FAO-56 dual approach for water use mapping in irrigated wheat fields of a semi-arid region,S Er-Raki,2010,"Remote Sensing 2 (1), 375-387, 2010",Remote Sensing,2,1,375-387
Water use efficiency and yield of winter wheat under different irrigation regimes in a semi-arid region,MH Kharrou,2011,"Agricultural Sciences in China 2 (03), 273-282, 2011",Agricultural Sciences in China,2,03,273-282
